Mon Nov 17 16:05:17 Loaded file C:\USERS\1230838\DESKTOP\PROJET-DE-5E-SESSION\BLOC3\LAYOUT\PROJET5ESESS.LLB
Mon Nov 17 16:05:17 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\data\template.imp
Mon Nov 17 16:05:18 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\data\template.imp
Mon Nov 17 16:05:18 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\data\template.imp
Mon Nov 17 16:05:48 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\data\template.imp
Mon Nov 17 16:08:14 UserDiv from Layout.INI for AutoECO: 60
Mon Nov 17 16:08:14 Loaded file C:\ORCAD\ORCAD_16.2\TOOLS\LAYOUT\DATA\_DEFAULT.TCH
Mon Nov 17 16:08:14 Loaded file C:\USERS\1230838\DESKTOP\PROJET-DE-5E-SESSION\BLOC3\LAYOUT\PROJET5ESESS.LLB
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\BCON100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\BCON156T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\BGA.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\CLCC.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DCON050T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DCON085T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIMM050F.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIMM050T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIN.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIP100B.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIP100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DSUBT.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DSUBT_HD.LLB
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\ECON100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\FBUS.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\ISA.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\JUMPER.LLB
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\LAYOUT.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\LCON100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PC104.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PCI.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PCON100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PCON156T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PGA.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\PLCC.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\QUAD.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\QUADB.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\RELAY.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\RF.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SBUS.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SIMM050F.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SIMM050T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SIMM100F.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SIMM100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SIP.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SM.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SOG.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\SOJ.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\STIFF.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TELE.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_AXIAL.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_CAP_P.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_CYLND.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_DIODE.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_DISC.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TM_RAD.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TO.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\TRAINING.LLB
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\VRES.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\WCON100T.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\XT.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\ZIGZAG.llb
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\LAYOUT.llb
Mon Nov 17 16:08:14 Library file not found:USER.PRT
Mon Nov 17 16:08:14 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\DIP100T.llb
Mon Nov 17 16:08:14 Library file not found:USER.PRT
Mon Nov 17 16:08:14 Library file not found:USER.PRT
Mon Nov 17 16:08:14 Library file not found:USER.PRT
Mon Nov 17 16:08:24 Loaded file C:\ORCAD\ORCAD_16.2\TOOLS\LAYOUT\data\template.imp
Mon Nov 17 16:08:24 Loaded file C:\ORCAD\ORCAD_16.2\TOOLS\LAYOUT\data\template.imp
Mon Nov 17 16:08:27 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\BCON100T.llb
Mon Nov 17 16:08:27 Loaded file C:\OrCAD\OrCAD_16.2\tools\Layout\library\BCON156T.llb
Mon Nov 17 16:08:28 Loaded file C:\USERS\1230838\DESKTOP\PROJET-DE-5E-SESSION\BLOC3\LAYOUT\PROJET5ESESS.LLB
Mon Nov 17 16:08:34 Library file not found:USER.PRT
Mon Nov 17 16:08:34 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:36 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:37 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:38 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:39 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:40 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Loaded file C:\USERS\1230838\DESKTOP\PROJET-DE-5E-SESSION\BLOC3\LAYOUT\PROJET5ESESS.LLB
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:41 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:42 Library file not found:USER.PRT
Mon Nov 17 16:08:43 Library file not found:USER.PRT
Mon Nov 17 16:08:43 Library file not found:USER.PRT
Mon Nov 17 16:08:43 Library file not found:USER.PRT
Mon Nov 17 16:08:43 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Loaded file C:\USERS\1230838\DESKTOP\PROJET-DE-5E-SESSION\BLOC3\LAYOUT\PROJET5ESESS.LLB
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
Mon Nov 17 16:08:45 Library file not found:USER.PRT
